rank_test_recall,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_accuracy,params
1,0.9974999999999999,0.8839303270571017,0.998296875,0.9125,"{'imputation__strategy': 'mean', 'model__C': 0.01, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8898815474337528,0.99875,0.9175000000000001,"{'imputation__strategy': 'mean', 'model__C': 0.1, 'model__fit_intercept': False, 'model__penalty': 'l1', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8951941654302565,0.99865625,0.9216666666666666,"{'imputation__strategy': 'mean', 'model__C': 1, 'model__fit_intercept': False, 'model__penalty': 'l1', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.89700627995538,0.9987031249999999,0.9233333333333335,"{'imputation__strategy': 'mean', 'model__C': 1, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8960598669776234,0.99865625,0.9225,"{'imputation__strategy': 'mean', 'model__C': 10, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8941898342520507,0.998640625,0.9208333333333334,"{'imputation__strategy': 'mean', 'model__C': 10, 'model__fit_intercept': False, 'model__penalty': 'l1', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8850507142769487,0.998828125,0.9133333333333333,"{'imputation__strategy': 'median', 'model__C': 0.1, 'model__fit_intercept': False, 'model__penalty': 'l1', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8800228375761044,0.998296875,0.9091666666666667,"{'imputation__strategy': 'median', 'model__C': 0.01, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.890854951969706,0.9987343750000001,0.9183333333333333,"{'imputation__strategy': 'median', 'model__C': 1, 'model__fit_intercept': False, 'model__penalty': 'l2', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
1,0.9974999999999999,0.8850656152049637,0.998671875,0.9133333333333334,"{'imputation__strategy': 'median', 'model__C': 1, 'model__fit_intercept': False, 'model__penalty': 'l1', 'model__solver': 'liblinear', 'scaler': RobustScaler()}"
